num,subcategories,sid
486,Plumbing Pipe Repair,21
487,Sealing Grouting & Caulking,21
488,Septic Tanks & Soakaway Installation,21
489,Septic Tanks & Soakaway Repair & Maintenance,21
490,Shower Installation,21
491,Soil Irrigation & Drainage,21
492,Taps & Fixtures Installation,21
493,Taps Fixtures & Pipes Maintenance,21
494,Thermostat Installation & Repair,21
495,Under Floor Heating - Water System Repair & Maintenance,21
496,Under Floor Heating Installation,21
497,Washing Machine Installation,21
498,Washing Machine Repair,21
499,Water Heater Installation,21
500,Water Heater Repair or Maintenance,21
501,Water Softening & Purification System Installation,21
502,Water Softening & Purification System Maintenance,21
503,Well System Work,21
504,Arabic Classes,22
505,Chinese Lessons,22
506,Dutch Lessons,22
507,English Lessons,22
508,French Lessons,22
509,German Lessons,22
510,Italian Lessons,22
511,Japanese Lessons,22
512,Portuguese Lessons,22
513,Russian Lessons,22
514,Spanish Lessons,22
515,Turkish Lessons,22
516,Arabic Translation,22
517,Cantonese Translation,22
518,Chinese Translation,22
519,CV Writing,22
520,Czech Translation,22
521,Danish Translation,22
522,Dutch Translation,22
523,Editing,22
524,Farsi Translation,22
525,French Translation,22
526,German Translation,22
527,Greek Translation,22
528,Hebrew Translation,22
529,Hindi Translation,22
530,Indonesian Translation,22
531,Italian Translation,22
532,Japanese Translation,22
533,Korean Translation,22
534,Latin Translation,22
535,Mandarin Translation,22
536,Medical Transcription,22
537,Norwegian Translation,22
538,Polish Translation,22
539,Portuguese Translation,22
540,Romanian Translation,22
541,Russian Translation,22
542,Sanskrit Translation,22
543,Scandinavian Translation,22
544,Somali Translation,22
545,Spanish Translation,22
546,Swahili Translation,22
547,Swedish Translation,22
548,Tagalog Translation,22
549,Thai Translation,22
550,Transcription Services,22
551,Turkish Translation,22
552,Vietnamese Translation,22
553,Website Copywriting,22
554,Welsh Translation,22
555,Writing Services,22
556,Arbitration Services,23
557,Employment Law Specialists,23
558,Arbor Pergola & Trellis Installation,24
559,Artificial Grass Installation,24
560,Artificial Turf Repair,24
561,Awning Installation,24
562,Awning Repair & Maintenance,24
563,Barbecue Installation,24
564,Boulder Placement,24
565,Fence & Gate Installation,24
566,Fence & Gate Repair,24
567,Fertilizing,24
568,Garden Clearance,24
569,Garden Shed Construction,24
570,Garden Sprinkler System Installation,24
571,Garden Sprinkler System Repair & Maintenance,24
572,Gardening,24
573,Gazebo Installation,24
574,Gazebo Repair and Maintenance,24
575,Grass Cutting,24
576,Greenhouse Construction,24
577,Hot Tub and Spa Cleaning,24
578,Hot Tub and Spa Installation, Maintenance & Cleaning,24
579,Hot Tub and Spa Repair,24
580,Ironing Services,24
581,Landscape Design,24
582,Landscaping,24
583,Lawn Care,24
584,Lawn Mower Repair,24
585,Lawn Turfing & Seeding,24
586,Outdoor Lighting & Power,24
587,Patio Cover Repair and Maintenance,24
588,Patio Services,24
589,Play Equipment Construction,24
590,Play Equipment Repair,24
591,Pond & Water Feature Installation,24
592,Pond & Water Feature Repair & Maintenance,24
593,Retaining Wall Construction,24
594,Security Fence Installation,24
595,Snow Ploughing,24
596,Soil Irrigation & Drainage,24
597,Tree and Shrub Planting, Maintenance, or Removal,24
598,Tree Surgery & Removal,24
599,Well System Work,24
600,Wildlife Control,24
